PERMNO,date,TICKER,COMNAM,PRC,VOL,RET
11850,20141128,XOM,EXXON MOBIL CORP,90.54,2181390,-0.056664
11850,20141231,XOM,EXXON MOBIL CORP,92.45,4010591,0.021096
11850,20150130,XOM,EXXON MOBIL CORP,87.42,3268194,-0.054408
11850,20150227,XOM,EXXON MOBIL CORP,88.54,2764475,0.020705
11850,20150331,XOM,EXXON MOBIL CORP,85,3302603,-0.039982
11850,20150430,XOM,EXXON MOBIL CORP,87.37,2516713,0.027882
11850,20150529,XOM,EXXON MOBIL CORP,85.2,1989238,-0.016482
11850,20150630,XOM,EXXON MOBIL CORP,83.2,2388089,-0.023474
11850,20150731,XOM,EXXON MOBIL CORP,79.21,2740288,-0.047957
11850,20150831,XOM,EXXON MOBIL CORP,75.24,3879407,-0.040904
11850,20150930,XOM,EXXON MOBIL CORP,74.35,3166445,-0.011829
11850,20151030,XOM,EXXON MOBIL CORP,82.74,3181261,0.112845
11850,20151130,XOM,EXXON MOBIL CORP,81.66,2642081,-0.00423
11850,20151231,XOM,EXXON MOBIL CORP,77.95,3670690,-0.045432
14593,20070131,AAPL,APPLE INC,85.73,9784726,0.01049
14593,20070228,AAPL,APPLE INC,84.61,4911382,-0.013064
14593,20070330,AAPL,APPLE INC,92.91,5696711,0.098097
14593,20070430,AAPL,APPLE INC,99.8,4835614,0.074158
14593,20070531,AAPL,APPLE INC,121.191,6124188,0.214339
14593,20070629,AAPL,APPLE INC,122.04,8340732,0.007005
14593,20070731,AAPL,APPLE INC,131.75999,8638940,0.079646
14593,20070831,AAPL,APPLE INC,138.48,8708524,0.051002
14593,20070928,AAPL,APPLE INC,153.47,7481420,0.108247
14593,20071031,AAPL,APPLE INC,189.95,8322211,0.237701
14593,20071130,AAPL,APPLE INC,182.22,9362944,-0.040695
14593,20071231,AAPL,APPLE INC,198.08,6166526,0.087038
14593,20080131,AAPL,APPLE INC,135.36,12571229,-0.31664
14593,20080229,AAPL,APPLE INC,125.02,8881250,-0.076389
14593,20080331,AAPL,APPLE INC,143.5,8196283,0.147816
14593,20080430,AAPL,APPLE INC,173.95,8147836,0.212195
14593,20080530,AAPL,APPLE INC,188.75,6641516,0.085082
14593,20080630,AAPL,APPLE INC,167.44,6959619,-0.112901
14593,20080731,AAPL,APPLE INC,158.95,7055404,-0.050705
14593,20080829,AAPL,APPLE INC,169.53,4674638,0.066562
14593,20080930,AAPL,APPLE INC,113.66,8597382,-0.329558
14593,20081031,AAPL,APPLE INC,107.59,14799055,-0.053405
14593,20081128,AAPL,APPLE INC,92.67,8441033,-0.138675
14593,20081231,AAPL,APPLE INC,85.35,7285237,-0.07899
14593,20090130,AAPL,APPLE INC,90.13,6527919,0.056005
14593,20090227,AAPL,APPLE INC,89.31,5153913,-0.009098
14593,20090331,AAPL,APPLE INC,105.12,5728764,0.177024
14593,20090430,AAPL,APPLE INC,125.83,4340566,0.197013
14593,20090529,AAPL,APPLE INC,135.81,3465709,0.079313
14593,20090630,AAPL,APPLE INC,142.42999,4639900,0.048745
14593,20090731,AAPL,APPLE INC,163.39,4003812,0.14716
14593,20090831,AAPL,APPLE INC,168.21001,3010562,0.0295
14593,20090930,AAPL,APPLE INC,185.35001,3687867,0.101896
14593,20091030,AAPL,APPLE INC,188.5,4763374,0.016995
14593,20091130,AAPL,APPLE INC,199.91,3116096,0.060531
14593,20091231,AAPL,APPLE INC,210.73199,4186200,0.054134
14593,20100129,AAPL,APPLE INC,192.063,5575899,-0.088591
14593,20100226,AAPL,APPLE INC,204.62,3948388,0.06538
14593,20100331,AAPL,APPLE INC,235,4451058,0.14847
14593,20100430,AAPL,APPLE INC,261.09,4539345,0.111021
14593,20100528,AAPL,APPLE INC,256.88,6656423,-0.016125
14593,20100630,AAPL,APPLE INC,251.53,6132684,-0.020827
14593,20100730,AAPL,APPLE INC,257.25,5775158,0.022741
14593,20100831,AAPL,APPLE INC,243.10001,3554056,-0.055005
14593,20100930,AAPL,APPLE INC,283.75,4387687,0.167215
14593,20101029,AAPL,APPLE INC,300.98001,4529149,0.060723
14593,20101130,AAPL,APPLE INC,311.14999,3525278,0.03379
14593,20101231,AAPL,APPLE INC,322.56,2580173,0.03667
14593,20110131,AAPL,APPLE INC,339.32001,4017673,0.051959
14593,20110228,AAPL,APPLE INC,353.20999,3459849,0.040935
14593,20110331,AAPL,APPLE INC,348.50751,4253054,-0.013314
14593,20110429,AAPL,APPLE INC,350.13,3437440,0.004656
14593,20110531,AAPL,APPLE INC,347.82999,2580262,-0.006569
14593,20110630,AAPL,APPLE INC,335.67001,3449685,-0.03496
14593,20110729,AAPL,APPLE INC,390.48001,3929412,0.163285
